club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
3302,ud-almeria,Ud Almeria,ES1,78.3,28,25.3,13,46.4,2,Power Horse Stadium,15274,£-15.30m,Rubi,https://www.transfermarkt.co.uk/ud-almeria/startseite/verein/3302
1531,fc-elche,Fc Elche,ES1,64.98,25,28.0,9,36.0,3,Manuel Martínez Valero,31388,£-6.71m,Francisco Rodríguez,https://www.transfermarkt.co.uk/fc-elche/startseite/verein/1531
150,real-betis-sevilla,Real Betis Sevilla,ES1,234.0,26,28.7,12,46.2,10,Benito Villamarín,59378,£-15.08m,Manuel Pellegrini,https://www.transfermarkt.co.uk/real-betis-sevilla/startseite/verein/150
49702,fk-nizhny-novgorod,Fk Nizhny Novgorod,RU1,16.92,27,24.7,5,18.5,2,Nizhny Novgorod Stadium,44242,£-495Th.,Mikhail Galaktionov,https://www.transfermarkt.co.uk/fk-nizhny-novgorod/startseite/verein/49702
41231,fk-sochi,Fk Sochi,RU1,23.94,26,27.0,6,24.0,3,Fisht Olympic Stadium,45994,+£5.37m,Vadim Garanin,https://www.transfermarkt.co.uk/fk-sochi/startseite/verein/41231
2696,krylya-sovetov-samara,Krylya Sovetov Samara,RU1,28.01,27,23.8,6,22.2,5,Solidarnost Samara Arena,42347,+£598Th.,Igor Osinjkin,https://www.transfermarkt.co.uk/krylya-sovetov-samara/startseite/verein/2696
418,real-madrid,Real Madrid,ES1,753.75,23,27.4,16,69.6,16,Santiago Bernabéu,81044,+£10.94m,Carlo Ancelotti,https://www.transfermarkt.co.uk/real-madrid/startseite/verein/418
1083,fk-rostov,Fk Rostov,RU1,34.11,26,24.1,3,11.5,7,Rostov Arena,45415,£-3.47m,Valeriy Karpin,https://www.transfermarkt.co.uk/fk-rostov/startseite/verein/1083
16704,fk-krasnodar,Fk Krasnodar,RU1,61.63,27,23.4,9,33.3,8,Stadion Krasnodar,35179,£-189Th.,Aleksandr Storozhuk,https://www.transfermarkt.co.uk/fk-krasnodar/startseite/verein/16704
932,lokomotiv-moskau,Lokomotiv Moskau,RU1,65.93,25,23.3,8,32.0,5,RZD Arena,27084,£-180Th.,Josef Zinnbauer,https://www.transfermarkt.co.uk/lokomotiv-moskau/startseite/verein/932
232,spartak-moskau,Spartak Moskau,RU1,71.39,25,25.0,7,28.0,9,Otkrytie Bank Arena,44571,£-377Th.,Guillermo Abascal,https://www.transfermarkt.co.uk/spartak-moskau/startseite/verein/232
121,dinamo-moskau,Dinamo Moskau,RU1,78.93,22,24.5,8,36.4,8,VTB-Arena,25716,£-5.74m,Slavisa Jokanovic,https://www.transfermarkt.co.uk/dinamo-moskau/startseite/verein/121
964,zenit-st-petersburg,Zenit St Petersburg,RU1,141.12,23,26.3,11,47.8,14,Gazprom Arena,63026,£-6.45m,Sergey Semak,https://www.transfermarkt.co.uk/zenit-st-petersburg/startseite/verein/964
2410,zska-moskau,Zska Moskau,RU1,64.49,27,24.1,10,37.0,7,VEB Arena,30114,£-3.88m,Vladimir Fedotov,https://www.transfermarkt.co.uk/zska-moskau/startseite/verein/2410
